areaId_FAOzone_51|15.0
areaId_FAOzone_37_4|20.0
areaId_FAOzone_37_2|21.0
areaId_FAOzone_37_3|17.0
areaId_FAOzone_37_1|22.0
areaId_FAOzone_34|21.0
areaId_FAOzone_27|8.0
areaId_FAOzone_37|13.0
areaId_FAOzone_27_6|21.0
areaId_FAOzone_27_10|10.0
areaId_FAOzone_27_5|19.0
areaId_FAOzone_27_8|8.0
areaId_FAOzone_27_12|21.0
areaId_FAOzone_27_1|12.0
areaId_FAOzone_27_4|18.0
areaId_FAOzone_27_3|18.0
areaId_FAOzone_27_7|19.0
areaId_FAOzone_27_2|20.0
areaId_FAOzone_34_1_13|15.0
areaId_FAOzone_34_1|22.0
areaId_FAOzone_34_2|8.0
areaId_FAOzone_51_1|11.0
areaId_FAOzone_27_9|12.0
areaId_FAOzone_27_4_b|20.0
areaId_FAOzone_27_4_a|9.0
areaId_FAOzone_37_2_1|21.0
areaId_FAOzone_37_2_2|20.0
areaId_FAOzone_37_4_3|22.0
areaId_FAOzone_37_1_3|8.0
areaId_FAOzone_27_12_a|11.0
areaId_FAOzone_27_2_a|19.0
areaId_FAOzone_37_1_2|15.0
areaId_FAOzone_27_12_b|9.0
areaId_FAOzone_27_12_c|20.0
areaId_FAOzone_37_1_1|10.0
areaId_FAOzone_34_1_1|19.0
areaId_FAOzone_34_1_3|22.0
areaId_FAOzone_34_1_2|19.0
areaId_FAOzone_37_4_1|11.0
areaId_FAOzone_37_4_2|16.0
areaId_FAOzone_27_7_g|10.0
areaId_FAOzone_27_8_c|12.0
areaId_FAOzone_27_7_h|21.0
areaId_FAOzone_27_4_c|8.0
areaId_FAOzone_27_5_a|9.0
areaId_FAOzone_27_6_b|15.0
areaId_FAOzone_27_6_a|9.0
areaId_FAOzone_27_3_d|17.0
areaId_FAOzone_27_7_a|12.0
areaId_FAOzone_27_7_b|19.0
areaId_FAOzone_27_7_c|13.0
areaId_FAOzone_27_7_d|13.0
areaId_FAOzone_27_7_e|14.0
areaId_FAOzone_27_7_f|10.0
areaId_FAOzone_27_8_b|17.0
areaId_FAOzone_27_5_b|14.0
areaId_FAOzone_27_9_b_2|19.0
areaId_FAOzone_27_12_a_4|12.0
areaId_FAOzone_34_1_32|10.0
areaId_FAOzone_27_12_a_2|14.0
areaId_FAOzone_27_3_d_27|12.0
areaId_FAOzone_37_3_2|10.0
areaId_FAOzone_37_3_1|18.0
areaId_FAOzone_27_1_b|21.0
areaId_FAOzone_27_5_a_2|20.0
areaId_FAOzone_27_3_b__c|13.0
areaId_FAOzone_27_9_a|8.0
areaId_FAOzone_27_9_b|12.0
areaId_FAOzone_27_3_a|16.0
areaId_FAOzone_34_1_12|12.0
areaId_FAOzone_27_8_d|21.0
areaId_FAOzone_27_8_e|19.0
areaId_FAOzone_27_7_j|9.0
areaId_FAOzone_27_7_k|16.0
areaId_FAOzone_27_10_b|17.0
areaId_FAOzone_27_10_a|18.0
areaId_FAOzone_27_8_a|16.0
areaId_FAOzone_34_1_11|12.0
areaId_FAOzone_27_3_d_26|22.0
areaId_FAOzone_27_8_d_2|18.0
areaId_FAOzone_27_8_d_1|19.0
areaId_FAOzone_27_3_d_24|16.0
areaId_FAOzone_27_3_d_29|18.0
areaId_FAOzone_27_3_d_28|19.0
areaId_FAOzone_27_9_b_1|14.0
areaId_FAOzone_27_2_a_1|18.0
areaId_FAOzone_27_7_j_1|16.0
areaId_FAOzone_27_5_b_1|20.0
areaId_FAOzone_27_3_d_25|8.0
areaId_FAOzone_34_1_31|17.0
areaId_FAOzone_27_12_a_1|22.0
areaId_FAOzone_27_7_j_2|10.0
areaId_FAOzone_27_5_b_2|14.0
areaId_FAOzone_27_3_d_31|19.0
areaId_FAOzone_27_3_d_32|22.0
areaId_FAOzone_27_3_d_30|16.0
areaId_FAOzone_27_10_a_2|9.0
areaId_FAOzone_27_10_a_1|20.0
areaId_FAOzone_27_7_k_2|14.0
areaId_FAOzone_27_7_k_1|16.0
areaId_FAOzone_27_2_a_2|14.0
areaId_FAOzone_27_3_22|22.0
areaId_FAOzone_27_3_23|13.0
areaId_FAOzone_27_5_b_1_b|17.0
areaId_FAOzone_27_3_d_28_2|8.0
areaId_FAOzone_27_5_b_1_a|16.0
areaId_FAOzone_27_3_d_28_1|13.0
areaId_FAOzone_27_6_b_2|17.0
areaId_FAOzone_27_6_b_1|8.0
areaId_FAOzone_27_7_c_2|21.0
areaId_FAOzone_27_7_c_1|12.0
areaId_FAOzone_27_8_e_2|15.0
areaId_FAOzone_27_8_e_1|12.0
areaId_natura_SI3000238|20.0
areaId_natura_SI3000307|10.0
areaId_natura_CY3000002|8.0
areaId_natura_SI3000243|17.0
areaId_natura_CY3000005|22.0
areaId_natura_CY5000005|15.0
areaId_natura_NL1000010|17.0
areaId_natura_NL1000012|13.0
areaId_natura_NL1000016|8.0
areaId_natura_NL1000017|20.0
areaId_natura_CY2000006|17.0
areaId_natura_CY3000009|19.0
areaId_natura_CY4000006|11.0
areaId_natura_CY4000010|19.0
areaId_natura_CY4000023|8.0
areaId_natura_NL2003061|15.0
areaId_natura_NL2009162|15.0
areaId_natura_CY6000002|22.0
areaId_natura_NL3009005|9.0
areaId_natura_NL3009007|9.0
areaId_natura_NL4000021|10.0
areaId_natura_NL9801079|22.0
areaId_natura_NL9803061|17.0
areaId_natura_NL1000014|14.0
areaId_natura_BG0000152|16.0
areaId_natura_NL2000006|9.0
areaId_natura_NL2003059|20.0
areaId_natura_NL2008002|18.0
areaId_natura_NL2008003|20.0
areaId_natura_NL3000016|12.0
areaId_natura_NL3009008|22.0
areaId_natura_NL3009009|22.0
areaId_natura_NL4000017|10.0
areaId_natura_NL9801001|14.0
areaId_natura_BG0000573|21.0
areaId_natura_BG0000574|9.0
areaId_natura_NL9802026|16.0
areaId_natura_BG0001501|13.0
areaId_natura_NL9902010|13.0
areaId_natura_NL9910002|10.0
areaId_natura_BG0000100|18.0
areaId_natura_BG0000116|13.0
areaId_natura_BG0000154|15.0
areaId_natura_BG0002041|15.0
areaId_natura_BG0002077|14.0
areaId_natura_SE0110002|14.0
areaId_natura_SE0110015|17.0
areaId_natura_SE0110041|9.0
areaId_natura_SE0110043|17.0
areaId_natura_BG0001001|9.0
areaId_natura_BG0002040|18.0
areaId_natura_BG0002043|14.0
areaId_natura_BG0002097|13.0
areaId_natura_SE0110024|14.0
areaId_natura_SE0110038|15.0
areaId_natura_SE0110078|8.0
areaId_natura_SE0110096|8.0
areaId_natura_SE0110101|19.0
areaId_natura_SE0110118|16.0
areaId_natura_SE0110124|22.0
areaId_natura_SE0110132|16.0
areaId_natura_SE0110141|10.0
areaId_natura_SE0110155|15.0
areaId_natura_SE0110158|21.0
areaId_natura_SE0110166|16.0
areaId_natura_SE0110199|17.0
areaId_natura_SE0110211|18.0
areaId_natura_SE0110284|9.0
areaId_natura_SE0110348|20.0
areaId_natura_SE0210220|17.0
areaId_natura_SE0210249|13.0
areaId_natura_SE0210250|18.0
areaId_natura_SE0210264|13.0
areaId_natura_SE0210270|11.0
areaId_natura_SE0110113|9.0
areaId_natura_SI3000247|13.0
areaId_natura_SE0110140|21.0
areaId_natura_SI3000249|15.0
areaId_natura_SE0210326|22.0
areaId_natura_SE0110235|16.0
areaId_natura_SE0220215|13.0
areaId_natura_SE0110295|10.0
areaId_natura_SE0110347|18.0
areaId_natura_SE0110349|16.0
areaId_natura_SE0110355|21.0
areaId_natura_SE0110360|13.0
areaId_natura_SE0220231|9.0
areaId_natura_SE0210019|16.0
areaId_natura_SE0210231|13.0
areaId_natura_SE0210251|9.0
